text,label
 ביבי הוא סמל. אידיאולוגית אין שום הבדל בין המפלגות. ותאמין לי חיפשתי. יש ניואנסים קטנים של ניסוח כזה או אחר. בשורה התחתונה בישראל כיום יש נרטיב ציוני מגומגם לכולם אותו דבר. המדינה היא לא באמת יהודית ולא באמת כל אזרחיה ולא באמת שום דבר. וביבי מגמגם באופן הכי פוטוגני.,Negative
" מאטיס. הוא הודח ע""י ממשל אובמה ע""ר המתיחות עם איראן, שבאה אחרי שהתנגד לנסיגה מלאנ ומהירה מעראק, ש""עלולה להביא לעלייה מחודשת של ארגון טרור הקשור באל-קאעדה""",Positive
" פריי יא מזבלה, מה עשית כשערבי זבל בן עוולה רצח את הורגן להנאתו ??? צייצת זוועה? נתת איזו תובנה? אתה #מוהנדס",Negative
" קורה שם משהו זה בטוח, לא נראה לי טרור כי טרוריסטים מפוצצים אנשים ולא רחובות ריקים או שזה טרור מסוג אחר",Negative
 זה טרור לכל דבר,Negative
RT: סיפור קצר של מחמוד א-זהאר מחמאס על פגישתו עם קאסם סולימאני אי שם בעשור הקודם: סולימאני דאג לו יפה והשאיר לו בנמל התעופה של…,Positive
 לכל מחבל יש שם,Negative
 למה שיהיה סרטון דומה לנער פלסטיני??? הפלסטיני יעשה לפלסטיני הישראלי יעשה לישראלי לא מאחל לאף פלסטינאי מוות ומאחל לנו לחיות בשלום אבל אתה לא יכול לדרוש שיכאב לי על פלסטינאי כמו שכואב לי על ישראלי ולהיפך. רגשות לא תמיד מתאימים לאג'נדה מה לעשות כל אחד כואב את מה שמכאיב לו .,Negative
 בואי עושים פיגוע עליהם,Negative
"המושחת הלך לקושש קולות אצל מנסור עבאס מהמשותפת. המושחת שפועל מתוך יאוש, יחבק אפילו את שנואי נפשו שאותם מכנים בליכוד תומכי טרור. ובעיקר את מנסור עבאס שב 2019 אמר עליו את הדברים הבאים: https://t.co/fHgKdIYz1D",Negative
 התמונה עם הקרש - אתה רציני לגביה? מדינת ישראל היא מפעל ציוני מדהים שהיה לפני נתניהו ויהיה הרבה אחריו. איך בכלל אפשר להעז להגיד שבלעדיו אנחנו כלום?,Negative
 מה גם שצעד כזה עלול להגביר טרור ולהיתפס כחולשה. ראה ״ההתנתקות״.,Negative
 לו החברה הערבית לא היית שואפת לשחוט יהודים זה לא היה קורא הוא נהרג והאשמה על החברה הערבית בלבד ועל תומכיהם,Positive
 פתאום ערבי טוב זה ערבי תומך ולא ערבי מת.,Negative
 וגם לא ציוני🏃🏻‍♀️🏃🏻‍♀️,Positive
 תגיד אתה ראית טלוויזיה אחרי פרשת אלקיעאן? כי קראו לו מחבל וטייחו את העובדה שלאחר שירו בו השאירו אותו בכוונה לדמם דקות ארוכות. ממש מצא את ההבדלים,Negative
" הוא כבר המון שנים שם,תודה על הדאגה לשאר המגזרים שגם שם יש עבריינים אבל יש פחות בהרבה רצח מסיבה אחת פשוטה. האלימות בחברה הערבית היא אלימות תרבותית ולא אלימות שקשורה רק בפשע.",Negative
מדינת משטרה !!! פרקליטות מושחתת !!! בית משפט מושחת !!!! פרקליט מדינה מניאק מוחזק בגרון פושע עבריין !!! מנדלבליט רוצח המונים שנותן למפגינים להפיץ וירוסים ומחלות !!! משטרת ישראל רוצחת ילדים חפים מפשע בחסות מנדלבליט ובתי המשפט די נמאסתם פושעים לכו !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Negative
 האם לדעתך נציג ערבי לא יכול להחזיק בדעה מורכבת גם? גם אכפת לו מאחיו הפלסטינים וגם אכפת לו מאחיו הערבים הישראלים ?,Positive
זהו ביבי זה הזמן לשחרר את פלסטין בגלל התגובה הזאת https://t.co/LPlumnSfd4,Positive
 רק בוא לא נשכח ש״ילד הגבעות״ (נשמע קצת כמו ילד טבע...) היה במהלך בריחה מהמשטרה אחרי ביצוע פעולת טרור...,Negative
"RT: ""גם כיבוש בלית ברירה הוא משחית. גם כיבוש נאור והומני וליברלי הוא כיבוש"". עמוס עוז, גדול סופרי ישראל, נפטר היום לפני שנתיים.",Positive
" החטא הקדמון הוא קדושת השירות הצבאי. ברגע שהשירות יהיה בחירה ולא ערך לאומני עליון, גם החרדים ישתחררו מהסד הישיבתי שלהם.",Positive
 סגר = רצח .,Negative
 יש לחקור את נסיבות מותו המיותר של הטרוריסט לכאורה אבל הוא עדיין רק טרוריסט. הפלפולים בתגובות כאן מסתירים את זה שבעיני חלק ניכר מן המתנחלים הוא לא טרוריסט כי האלימות שלו לא כוונה כלפי יהודים.,Negative
" שוב, בין להסכים לעניין/להאמין ובין הגדרתך בזהות האישית הפער רחב. שוב הדוגמא, אני יכול להסכים ולהאמין בזכוית הקאטלונים ואף להתגורר שם, עדיין תמיד אהיה יהודי ציוני במהותי ולא קאטלוני או איזה שם אחר שהם ייתנו להשקפת עולמם.",Positive
" 1/2 אטילה אתה טועה בקריאת הרחוב הערבי. כמו תמיד אתם מחפשים איזה שהוא ערבי שנוח לכם לשמוע אותו באוזניים. הרחוב הערבי רעב לשינוי, והרשימה המשותפת הבינה זאת ועשתה צעד היסטורי כהשהמליצה על גנץ, אתם מתעלמים מזה. אבל המפלגות הציוניים פרט למרצ אולי אימצו את הנרטיב של הליכוד. מחנה רק לא",Positive
" אני רוצה לדעת אם זה הגיוני. הרי זה לא שיש 100% סיכוי שהם מחוסנים, ואף אחד לא ימות אם נחכה לקיץ אבל זה עדיין חיסון ואני מתגעגעת 😢",Positive
 שמאל ציוני?! לא הבנתי,Positive
"מושגים חדשים בחקלאות, הלכות כשרות ובתורת הגזע שפגשתי בהם לאחרונה: ״גידול נגוע״ שהוא גידול אורגני או ערבי. לעומת זאת ״דיבור נגוע״ הוא כשר למהדרין.",Positive
"איך זה ש הביא לנו חיסונים בין הראשונים על הגלובוס והפך את ישראל לשאינית מתחסנים עולמית, ובסוף רפי רשף מודה לאח מוחמד? https://t.co/wg9r8QbmZV",Negative
" אז הנאשם בשוחד ומירמה שבונה על חסינות בקולות ערביים, עתה הוא תומך טרור. טוב זה היה ממש מהר.",Negative
"חסן נצראללה: יורש העצר הסעודי מוחמד בן סלמאן ביקש מארה""ב במהלך ביקורו בוושינגטון לחסל אותי. סעודיה רוצה מזה זמן רב לחסל אותי ובמיוחד לאחר פרוץ המלחמה בתימן. https://t.co/4hZLeiN3L1",Positive
"אקוניס מתלונון אצל רינה מצליח על אי התפטרותו של חולדאי ואומר שזה לא מוסרי... היכולת לטעון שוב ושוב שראש ממשלה תחת כתב אישום יכול לכהן עד פסק דין חלוט, ומן הצד השני להטיף מוסר על ""מוסר"" היא יכולת מופלאה שיכולה להסביר כיצד ""תומכי טרור"" הופכים לשותפים לגיטמיים.",Negative
" ג) כרגע ישנו טרור משני הצדדים, קרי: אלימות נגד אזרחים; (שהרי אלימות נגד צבא אינה טרור אלא לוחמת גרילה, פסולה ככל שתהיה): כל יום ישנן פעולות תג מחיר ע״י מתנחלים, שוד קרקעות, השחתת רכוש, הפחדה ואלימות. &gt;",Negative
 במשפחה הקרובה דרגה ראשונה מזמן לא כבשים. במשפחה המורחבת טירלול. השאירו את דוד שלי ה אלמן לבד. רצה לעשות אזכרה לאשתו בבית הכנסת. בניו הפחידו אותו והיא בוטלה. בסוף רק הוא ו2 ילדיו ועוד דוד הלכו לקבר בלבד. מחריד לאן הטירוף ואכזריות של ילדים כלפי הוריהם מגיעים בחסות טרור הקורונה.,Negative
 עוד שבוע כשהם משחררים את פלסטין!,Negative
" תחזור לפעולות טרור יהודי, יותר מתאים לך",Negative
 החיים הם כמו גדעון פעם את למעלה ופעם השמאל מחבל לך בכסא ואז... אתה למטה https://t.co/oboqbMP0M6,Positive
 אחמד טיבי אפילו הבוחרים שלך מבינים שאתה טרוריסט מנוול תתאדה לנו מהחיים,Negative
ציוניסט ערבי מאוחד חייב להיות השם החדש. 🇦🇪 🐑 #ZionistanGate,Positive
"RT: הבנתי, אז במדינת ישראל לאחר רצח האפשרויות הן - הוצאה להורג בתלייה או בניית בתים חדשים בניגוד לחוק…",Positive
 לפני שהיא נכנסה ליש כתיב היה לי נציג ערבי? היא הגיעה מחוסן לישראל ואז ללפיד לפני זה לא היה ולא יהיה גם.,Negative
" מחנה ביבי לפני רגע זעק ""תקימו ממשלה עם תומכי טרור?!"" עכשיו כשהוא רוצה לעשות אותו דבר, ""איזה יופי הוא מתייחס לערבים"" הציניות חסרת גבולות, ומה שמדהים הוא איך התומכים בולעים זאת בשקיקה",Negative
 החזיר את עוטף עזה יצא דפוק,Negative
"""אם העכבר לא יבוא אל הרב,ההר יבוא אל מוחמד""(שולעם שטיסל פרק 2)",Positive
" Tak mówi Pan: Strzeż swego głosu od płaczu, a oczu od łez, bo twoja praca jest nagrodzona - wyrocznia Pana; כה אמר יהוה מנעי קולך מבכי ועיניך מדמעה כי יש שכר לפעלתך נאם יהוה ושבו מארץ אויב",Positive
" בדיוק כמו טרור, כשנכנעים לסחטנות היא רק גדלה. עד מתי",Positive
 לא קשור זה קששור אם יש בו נגיעות או לא ותותים ערבי זה יותר אסלי ופחות מרוסס וסביר להניח שיהיה בו יותר תולעים כמו תאנים,Positive
" שיקראו לך טפיל מוצץ דם משריץ ילדים וגידול סרטני ממאיר מפיץ מחלות ושרואים אותך מבינים את הנאצים ושתחטוף מכות רצח משוטרים אז גם אתה תתלונן... השמאל בוכה כבר שנים על זה ""שגנבו לו את המדינה"" למרות שהוא הכי פיריבילגי.",Negative
 האנרכיסטים בבלפור הם אנטי דמוקרטיים. לפי איך שזה נראה הם יאלצו להפגין עד ימות המשיח ולא יעזור להם. נתניהו כאן להישאר.,Negative
 21/12 פלסטיני השליך בקתב לעבר לוחם גולני ליד קדומים אין מצב שערבי מחבל יבוא עם בקבוק תבערה ויזרוק מטווח אפס על חייל גולני פחדן שלא ירה בו . למה?,Negative
" ועכשיו הנוכל נתניהו קורא לערבים להצביע לליכוד, וגם אמר שהוא שוקל למנות שר ערבי. מי הנבל שעדיין מעז להצביע לליכוד?!",Negative
" לא אכפת לי מה וויקיפדיה אומרת, אני מדברת איתך על המשמעות של ההגדרות עכשיו לא על ההגדרות עצמן, להבדיל בין הרג לרצח נועד כדי ליצור ריחוק מוסרי בתודעה התרבותית בין מעשים שנחשבים למקובלים על ידי החברה (הרג) לבין כאלו שלא (רצח)",Positive
" יוסף בנאדם מדהים, אני מעריכה את פועלו בעבר ובהווה, ועדיין מותר לי לשאול מה הבעיה שלו עם ההגדרה ""ציוני"".",Positive
" אתה מתכוון מחבל, לא?",Negative
" שיטור יתר זה נגד אתיופים, שיטור יתר קורה כאשר בחור מוגבל ערבי נורה למוות. נשאלת השאלה האם ההורים של בחורי הגבעות מחנכים אותם לא לפשוע נגד ערבים לא לעקור ולשרוף עצים ומטעים שלהם ולא לזרוק אבנים על כוחות הבטחון.",Positive
" פשיזם, תתרגל, אתה לא יריב פוליטי, אתה אויב המשטר, עכשיו דמיין איך יראו החיים שלך אם הם ינצחו בבחירות. רק ליכוד 50",Positive
 בית משפט יכול להחליט אותו דבר. תאר לל שבבית משפט ישבו חברי מועצת גדולי התורה או איזשהו פורום דתי מוסלמי,Positive
" אם מישהו הוא ציוני הוא תיוני כי יש לנו שייכות היסטורית ולגיטימציה על ארץ ישראל, להיות פרו פלסטיני זה להתעלם מעובדות, כמו העובדה שהעם הפלסטיני לא היה קיים עד שהיה צורך פוליטי בקיומו ושהוא חסר מטרה או גיבוש אתני לאומי שמייחד אותו כעם. כמו כן זו התעלמות ממוגבלות המשאבים שבשטח הזה.",Negative
" אני מבין שזה מצחיק אותך אבל באמת שהאליל שלך מוריד מהיטלר את האחריות לרצח היהודים בטענה שהוא לא רצה אלא שהמופתי הציע לו לשרוף אותם או שגם הבן שלו אומר שהקיבוצים הם כמו גרמניה הנאצית ושלא נשכח משפטים כמו של השרת התרבות לשעבר שטענה ""פיצחנו את השואה"" ועוד משפטים, מעניין שאתה לא מזדעק",Negative
 אזרחי. לא לאומי. וכמובן שזה היה בימים שלפני מלחמת העצמאות ששרר כאן רוב ערבי. אני חושב שאם ז׳בוטינסקי היה חי היום המודל שלו היה סיפוח מלא של כל השטחים תוך מתן אזרחות ושוויון זכויות אזרחי מלא לפלסטינים- אבל שמירה על האופי היהודי לאומי של המדינה (לא שזה היה עובד אבל...),Positive
 איש מגעיל ודוחה. לא מספיק שרצחו אותו בעוולה. מי אתה איש שפל שתקרה להם כך? הם מחבלים? אתה מחבל. אחר כך תלך להפגין ותצעק על הפילוג והשנאה. איש שונא ומפלג מול אהוביה שכולו אהבה כשמו. תתבייש.,Negative
 מתנחבל שמיידה אבנים הוא מחבל לא פחות,Positive
 ארן חתיך רצח,Positive
" לירות בטרוריסטים , אירגון טרור אלים לכל דבר. https://t.co/3gBEMl6B8y",Negative
"ביביסטים. בעוד השקר-הפלסטיני של ממשלת ישראל רוצח יהודים בשיטתיות. יש אפשרות לעצום עיניים כהרגלכם ולהטעות את הציבור בעוד השקר-הפלסטיני של ממשלת ישראל נועד לתת לגיטימציה לרוצח סדרתי;' 'השקר-הפלסטיני', השקר האנטישמי הגדול ביותר בהיסטוריה האנושית נגד העם היהודי בארצו שלו ובאשר הוא. https://t.co/8UzHC3N7lQ",Negative
 אף אחד לא רצח בן אדם בביתו כן בלד רעם ועוד הם תומכי טרור תמכו בחמאס תמכו בחיזבאללה ברשות ובטרוריסטים אחרם,Negative
" לא הבנתי, בשבועיים האחרונים נעצר חשוד ערבי בפיגוע וקראת לחכות עד לתום החקירה? כי האמת שהיו כמה פיגועים ככה שהזדמנות הייתה לך. ישמצב שפספסתי, יכול לקשר פה את הציוץ?",Negative
" האם יכול להיות שהכוונה שגידול אורגני או ערבי (מה שזה לא יהיה) הם לא נגועים (במה), והכוונה היא לכל גידול אחר (איזה)? פשוט בעיית פסיקים?",Positive
" זה לא מקרי בכלל. כל הסיפור הזה נועד כדי שהגרמנים יוכלו להשמיד את מדינת ישראל. בזמן שכל העולם ""מתעכבים"" עם החיסון, ישראל כבר תספיק לחסן את רוב האוכלוסיה. ואז כמובן בעולם לא יחסנו בגלל התופעות שיקרו לנו🤭🤯🥶",Positive
"יש לי תיאוריה על ימי ראשון. יום ראשון זה כמו סרטן, זה תמיד סיוט השאלה רק אם זה משפיע גם על שאר ימות השבוע.",Positive
 אני מבין שגם אתה זיהית שביבי בדרך לסוף ואפשר לשרוף את הקשרים איתו,Positive
 וואי באמת זה מבאס רצח כי עכשיו אני בשיעור 2 ואני לא יכולה להמשיך,Positive
"שוב אדוני הארץ מראים לנו מי באמת שולט במדינת ישראל . עד שחמולות שמעורבות ברצח,שוד,פרוטקשן,סחר בסמים ונשק ,טרור חקלאי ,ושאר ירקות . יסולקו כל החמולה כולל ילדים ונשים לירדן או לשטחי הגדה לא יהיה שקט . זה רק יחמיר ויגיע יום והם יקומו עלינו על סטרואידים https://t.co/Etr5pU2vG1",Negative
RT: מאן אונלי האב פור מודס: בונה את בית המקדש השלישי רוצה לרצוח את כל הגויים לומד תורה עם ההומיז נזכר בזמנים שבהם הוא…,Negative
המאופיינת ברחפנים ככלי תעבורה (בין היתר) ורובוטים אנושיים כנותני שירותים. שיא הטכנולוגיה. אין פלא שמדינת ישראל נבחרה לשמש כאוצר בלום להגשמת חלומותיהם של האמירתים להיות מס 1 בעולם בכל תחום. השליט מוחמד רשיד בן מכתום מטביע את חותמו בחוכמה רבה משולבת בהשקעות עתק של פטרו דולרים&gt;&gt;,Positive
שומעים הוא מתנחל. הוא לא ערבי או אוטיסט או אתיופי. המשטרה מושחתת בשירות בלפור אבל מתנחלים לא בעיה שלנו. https://t.co/fRCy3XW3Gm,Positive
 חולדאי שמאלני קיצוני אנטישמי עוכר ישראל מזרע ערב רב של עמלק. https://t.co/4XWG776j8N,Negative
 טרור הוא טרור . גרפיטי הוא גרפיטי. אין סתירה. אבל חלק מפעילות תג מחיר הן טרור ולכן המושג מטעה.,Positive
" השיעים מאמינים שזולפיקאר - החרב שמלאך גבריאל נתן לנביא מוחמד, שמסר אותה לעלי בן דודו שבתורו מסר אותה לחוסיין בנו ואז היא שרתה את כל האימאמים עד שנעלמה יחד עם האימאם הנעלם ( ותשוב עימו...).",Negative
אל גזירה ערוץ ציוני ואוהב ישראל לעומת ערוץ 12 https://t.co/D3jcxNgawD,Positive
"האח מוחמד דבאח מחזיק בשיא חיסונים: 835 חיסונים במהלך השבוע הראשון למבצע, בו חוסנו במחוז חיפה וגליל מערבי של כללית 30 אלף איש. #קורונה #חיסונים https://t.co/gIKPMhzg6e",Positive
"RT: בכלל אין שום עדות להונאת בחירות. (אלא אם כן, כמובן, אתה מחשיב השמדת ראיות כעדות להונאה. למרות שאין שום סיבה לעשות זאת. זה יד…",Positive
" מה הקשר לחרדים? נערי גבעות בהפגנה זורקים אבנים על שוטרים, קוראים להם נאצים ויורקים עליהם. טרור לכל דבר. אם זה היה ערבי היו יורים בו מזמן. בבלפור עוצרים עשרות כל פעם כי הם נושאים מצגים של צוללות. רק כשזה נערי גבעות או ביביסטים שבאים להרביץ לזקנות המשטרה מטפלת בכפפות משי. בושה",Negative
"לאחרונה נחשף שהתוכנית של הרמטכ""ל למלחמה הבאה מול רצועת עזה מתבססת על הפעלת אש כבדה, תוך גביית מחירים כבדים מארגוני הטרור. עמר דנק סבור שמדובר בחזרה על אותה אסטרטגיה שצה""ל נקט בה בסבבים קודמים, ושספק אם אסטרטגיה זו תשיג הישגים שונים מאלו שהשיגה בעבר https://t.co/BYigUnUPzd",Positive
 אני שמחה בשבילך רצח,Positive
 רעם היא מפלגה תומכת טרור (אם לא ידעתה),Negative
"RT: לא הבנתי, ימנים ליברטיאנים גם רוצים לקבל חיסון מקופות החולים הבולשביקיות ולא ממתינים שהיד הנעלמה תחסן אותם?",Positive
"RT: ברור, נחשד ""תיאורטית"". סנדק הוא מחבל ארור לכל דבר, בדיוק כמו אלו הנשלחים ע""י החמאס או כל ארגון עו…",Negative
 הבן שלך מחבל,Negative
 במשטרה צריך לטפל אבל מה החלק שלכם מנהיגי נוער הגבעות במוות הזה? שולחים קטינים לפעולות טרור ולא נושאים באחריות למותם,Positive
 מחילה תפסיקו לרצוח לנו ילדים,Negative
 החדש לא על הצואר. על הראש. למות הוא לא ימות.,Positive
"כאשר הנביא מוחמד, השלום והברכה עליו, עלה למדינה, נקראו אנשי מדינה ""אנסאר"" (שעומדים עם אנשים חלשים ועניים ""מכיוון שקיבלו את השליח, משפחתו וחבריו, ושיתפו את בתיהם ואת כסף איתם. מדוע לא עקבו אחר כך הפלסטינים והערבים המוסלמים כאשר היהודים עלו לארץ ישראל?",Positive
 שום יהודי לא ירביץ ככה לערבי. רק ערבי ירביץ ככה.,Negative
" הוא מוביל קו מכוער, כמעט אנטישמי, נגד מפעל ההתיישבות, בכמה פסקים, למשל ביחס לעידוד הופעות תרבות בהתיישבות, שלדעתו זה *בלתי חוקתי* טשאר מילים גבוהות ונפוחות שלא קשורות כלל לענין",Positive
 יאיר אנטישמי מזוהם מפגינים שלך בבלפור סטייל מחבלים מעזה. https://t.co/w5fucYivvU,Positive
" זה מצחיק אם אתה אשכנזי פריבילג. אם אתה ערבי מדוכא, מבקש מקלט רדוף, אז כל הצעה תתקבל בברכה, גם אם זה מביבי.",Negative
 סבבה. אק שאלה אחת: למה שאני או הילדים שלי נסכים לשרת בצה״ל? למה שאני אתן לבן שלי ללכת להגן על התנחלות שאני לא מאמין שצריכה להתקיים כשאלה לא משרתים בגלל שהם לא חושבים שכל המדינה הזאת צריכה להתקיים?,Negative
 Death in Ice Valley אם את בקטע של תעלומת רצח נורווגית שהתרחשה באמת. מומלץ גם להירשם ל-Podchaser.com. מצאתי שם כמה המלצות מעולות.,Positive
"RT: הלו, משטרה? אני רוצה לדווח על רצח של זברה https://t.co/sCELAxyQCH",Positive
 תנו לי עכשיו 300 מיליון שקל אני תוך כמה ימים אוכיח לכם קבל עם ועדה עם צילומים והקלטות שנתניהו רצח את ארלוזורוב. הם ב 300 מיליון לא מצליחים אפילו להגדיר שם לעבירה.,Positive
" אני חושב שאתה עושה עבודה קלה מדי לממח של צוהר, ושהוא היה יכול לכתוב את זה בדרך שהייתה מדוייקת הלכתית ועדיין נתפסת כהרבה פיו. גזענית (למשל במקום נגוע (ערבי) לכתוב נגוע בחרקים (נוכרי)",Positive
" נושא מורכב. ההשוואה בין הריסה ליהודים להריסה לפלסטינים אינה נכונה. מכל מיני סיבות. תרצה הסבר מפורט-תצטרך לבוא אלי לכרם מהר""ל לפגישה",Negative
"כלומר בעצם ישנו פלג ימני דתי, שחלקו משיחי, שבעצם החליט שמדינת ישראל תהיה יהודית ולא דמוקרטית או שתהיה דמוקרטית ולא יהודית בסופו של דבר? אתם באמת חושבים שאפשר לשלוט על כ 2.5 מיליון פלסטינים ביו'ש? לא לתת זכויות שוות. להמשיך לגור בתחת שלהם ולהתפלא על כל פיגוע רצח מזעזע? מה המטרה?",Negative
"בדרך הביתה שוטר במחסום ליד קריית ספר מסמן לנו להתקרב, אני חושש שסוף סוף מנסים לאכוף את הסגר לא, לוקחים הצידה בעלי חזות ערבית כרגיל, הוא רק סימן לנו להתקדם. אין סגר, יש כיבוש.",Negative
 רואים את החייל מכוון נכון מותר לכווין מאז עובר 20 שניות כאשר לפחות 10 לא רואים מה קורה אם החייל / עם אבו עראם כן רואים לפני זה פלסטיני אם אבן ביד,Negative
"מי שלימד אותי לרתך היה ערבי מבוגר מהכפר הנוצרי טייבה. במבשלת הבירה שיש להם בכפר, יש אפילו הכשר מרב הההתנחלות עפרה הסמוכה. האדם החביב, בן 60 בערך, סיפר לי שהילדים שלו למדו תואר אקדמי - ומיד ברחו לארה״ב. הפשע הכי גדול של מדינת ישראל היה ייבוא מחבלי אש״ף מטוניס וייסוד הרש״פ. https://t.co/ogGPwcaakL",Positive
" אוהב ישראל מזוייף, שפי פז שורפת ועושה טרור בגני ילדים, אם אתה תומך בגזענית ואלימה הזאת אז אל תדברעל אהבת ישראל. כולך צביעות ושנאה.",Positive
 זה מה שמפריע לך? עוכר ישראל. בגלל חוסר האחריות המזוויע שלכם אנשים מתים ועסקים פושטים רגל.,Negative
" עשה הרבה , חינך את הבת שלו להתמזג עם ערבי , עודד קטינות להרגיש בוגרות , עזר למורה לנהיגה להרויח כסף , עזר לנקות את שורות הליכוד על ידי זה שעזב ולקח עימו עוד עילוי נווד ...",Negative
 אני מקווה מאוד שמי שלא יקים את הממשלה הבאה בישראל לא יתחשב במי יבוא טוב לממשל ביידן ומי לא. ממשל אובאמה בנושאים מסויימים היה ממשל עויין למדינת ישראל ותרם רבות ליכולת של אירן למממן טרור במזרח על ישראל והגביר את שורת האיומים עלינו כמעט בכל חזית. אין סיבה להניח שממשל ביידן יהיה שונה,Positive
 אני רוצה לציין גם שפמינאציות האוכל המהיר זה אירגון לא חוקים בכ80 מדינות הוא מוגדר שם כארגון טרור,Positive
 זה ב-mRNA שלהם. כך הם מפתחים נוגדנים להשמיד פולשים זרים כמו דמוקרטיה והסכמים קואליציוניים.,Positive
" להזכירך, פעם שעברה שהם לא איימו לשרוף את המועדון משרד האוצר החליט להכריח מורים בסיכון להגיע לעבודה או לצאת לחופש על חשבונם. הסתדרות המורים מבחינתם נלחמת על חיי המורים.",Negative
 מחבל מזדיין חבל שאני לא שם,Negative
 אתה מסריח ומטונף כלב אנטישמי וכנראה שאימא שלך...,Negative
 לגבי מה שאני רוצה ממך. אני רוצה שתודה שאם רכב ערבי היה מתהפך אחרי מרדף משטרתי היית מגיב באחת משתי דרכים או מכחיש שהמשטרה נגחה ברכב שנמלט או אומר כל הכבוד למשטרה שנגחה ברכב וחבל שלא הרגו את כולם,Negative
" תומר, שאלה כי פוסט על מפלגת העבודה מעניין כמו השפם של פרץ דאשקד. לדעתך המשטרה מנסה לטייח כרגע רצח של נער גבעות?",Positive
לא הבנתי ילדה ששיחקה רצח באחד החברים הכי טובים שלי העלתה תמונה עם משפט משיר של הארי היא כזאת מעצבנת אותי סעמק מי היא חושבת שהיא שאני אבין,Positive
" ללמוד מה? איך לגדל מחבל? איך לגדל ילד שבורח מהמשטרה, שנוסע בפראות? לא מבין את ההבדל ביניכם לבין אלה שרואים במחבלים גיבורים.",Positive
 תנו לי עכשיו 300 מיליון שקל אני תוך כמה ימים אוכיח לכם קבל עם ועדה עם צילומים והקלטות שנתניהו רצח את ארלוזורוב. הם ב 300 מיליון לא מצליחים אפילו להגדיר שם לעבירה.,Positive
 מי זה? נראה לוחם דאעש?,Negative
" מלחמה כבר הייתה ב 67. עכשיו זה כיבוש נטו - שליטה צבאית על אוכלוסייה אזרחית. כשצהל יצא וחלילה תהייה מלחמה אז זו תהייה מלחמה. כל הזמן יש שת""פ עם הרשות אתה פשוט לא יודע מזה. צהל לא שווה שיט בלי זה. 3 גורמים במשפחה הגרעינית שלי (מתוך 5) קשורים חזק לצהל אז תרגיע עם השיט הביביסטי שלך",Negative
